clip,time,rootX,rootY,rootZ,rootYaw,headX,headY,headZ,hipsX,hipsY,hipsZ,meshMinY
Zombie@Damage01,0.1708333,0,0,0,0,0.02235017,1.468002,-0.04822654,0.01146565,0.864775,-0.06365347,0.0002257228
Zombie@Damage01,0.175,0,0,0,0,0.02002863,1.469829,-0.04493102,0.009634679,0.8659574,-0.06057695,-0.000404954
Zombie@Damage01,0.1791667,0,0,0,0,0.01770669,1.471624,-0.04162719,0.007801258,0.8671279,-0.05749324,-0.001025051
Zombie@Damage01,0.1833333,0,0,0,0,0.01539467,1.473336,-0.0383928,0.005975582,0.8682354,-0.05448046,-0.001084417
Zombie@Damage01,0.1875,0,0,0,0,0.01308289,1.475015,-0.03515476,0.004147844,0.8693291,-0.05146599,-0.00111112
Zombie@Damage01,0.1916667,0,0,0,0,0.01077085,1.476663,-0.03190909,0.002317538,0.8704118,-0.04844544,-0.001137048
Zombie@Damage01,0.1958333,0,0,0,0,0.008458652,1.47828,-0.02865512,0.0004846206,0.8714837,-0.04541887,-0.001162887
Zombie@Damage01,0.2,0,0,0,0,0.006146335,1.479866,-0.02539324,-0.001350774,0.8725447,-0.04238659,-0.001188487
Zombie@Damage01,0.2041667,0,0,0,0,0.003516891,1.479267,-0.02199359,-0.003410855,0.8719983,-0.04049326,-0.001393259
Zombie@Damage01,0.2083333,0,0,0,0,0.0008925864,1.478653,-0.01859294,-0.00546721,0.8714485,-0.03859888,-0.001585484
Zombie@Damage01,0.2125,0,0,0,0,-0.001726665,1.478026,-0.01519132,-0.007519796,0.8708955,-0.03670342,-0.001764119
Zombie@Damage01,0.2166667,0,0,0,0,-0.004340318,1.477385,-0.01178851,-0.009568386,0.8703389,-0.03480658,-0.001930177
Zombie@Damage01,0.2208333,0,0,0,0,-0.006948554,1.47673,-0.008384392,-0.01161298,0.8697793,-0.03290866,-0.002083093
Zombie@Damage01,0.225,0,0,0,0,-0.009550992,1.476062,-0.004979318,-0.01365341,0.8692172,-0.03100956,-0.002222717
Zombie@Damage01,0.2291667,0,0,0,0,-0.01214757,1.47538,-0.001572867,-0.01568953,0.8686522,-0.02910908,-0.002348632
Zombie@Damage01,0.2333333,0,0,0,0,-0.0147382,1.474686,0.001834991,-0.01772131,0.868085,-0.02720743,-0.002460599
Zombie@Damage01,0.2375,0,0,0,0,-0.01634392,1.472497,0.007608087,-0.01894572,0.8662759,-0.02563533,-0.002559751
Zombie@Damage01,0.2416667,0,0,0,0,-0.01798208,1.470235,0.01335627,-0.02020252,0.864428,-0.02408636,-0.002676368
Zombie@Damage01,0.2458333,0,0,0,0,-0.01961727,1.467947,0.01910171,-0.02145637,0.8625855,-0.02253839,-0.00276649
Zombie@Damage01,0.25,0,0,0,0,-0.0212494,1.465631,0.02484391,-0.02270711,0.8607484,-0.02099128,-0.002830148
Zombie@Damage01,0.2541667,0,0,0,0,-0.02287838,1.463287,0.03058279,-0.02395467,0.8589171,-0.01944505,-0.002866685
Zombie@Damage01,0.2583333,0,0,0,0,-0.02450418,1.460917,0.03631832,-0.02519909,0.8570919,-0.01789956,-0.002875715
Zombie@Damage01,0.2625,0,0,0,0,-0.02612672,1.45852,0.04204994,-0.02644021,0.8552725,-0.01635463,-0.002858371
Zombie@Damage01,0.2666667,0,0,0,0,-0.02774586,1.456097,0.04777727,-0.02767803,0.8534594,-0.01481017,-0.002812922
Zombie@Damage01,0.2708333,0,0,0,0,-0.02874637,1.452863,0.05579443,-0.02823769,0.8509778,-0.01325892,-0.003017843
Zombie@Damage01,0.275,0,0,0,0,-0.02973762,1.449569,0.06380618,-0.02879064,0.8485091,-0.01170706,-0.003160149
Zombie@Damage01,0.2791667,0,0,0,0,-0.03071951,1.446216,0.07181155,-0.02933687,0.8460539,-0.01015443,-0.003238112
Zombie@Damage01,0.2833333,0,0,0,0,-0.03169164,1.442805,0.07980928,-0.02987628,0.843612,-0.008600678,-0.003252625
Zombie@Damage01,0.2875,0,0,0,0,-0.03265393,1.439335,0.0877991,-0.03040873,0.8411831,-0.007045355,-0.003203094
Zombie@Damage01,0.2916667,0,0,0,0,-0.03360594,1.435806,0.09577911,-0.0309341,0.8387678,-0.005488459,-0.003088534
Zombie@Damage01,0.2958333,0,0,0,0,-0.03454774,1.432219,0.1037493,-0.03145248,0.8363661,-0.003929537,-0.002909392
Zombie@Damage01,0.3,0,0,0,0,-0.03547886,1.428575,0.1117077,-0.03196362,0.8339781,-0.002368435,-0.002664179
Zombie@Damage01,0.3041667,0,0,0,0,-0.03623281,1.425094,0.1207736,-0.03219587,0.8319669,-0.0009745359,-0.002975404
Zombie@Damage01,0.3083333,0,0,0,0,-0.03696751,1.421528,0.1298297,-0.03241968,0.8299767,0.0004248321,-0.003207862
Zombie@Damage01,0.3125,0,0,0,0,-0.0376825,1.417876,0.1388731,-0.03263484,0.8280076,0.00183019,-0.003360063
Zombie@Damage01,0.3166667,0,0,0,0,-0.03837733,1.41414,0.1479028,-0.03284124,0.8260599,0.003242016,-0.003431588
Zombie@Damage01,0.3208333,0,0,0,0,-0.03905128,1.410319,0.1569161,-0.03303874,0.824133,0.004660904,-0.003421426
Zombie@Damage01,0.325,0,0,0,0,-0.03970409,1.406414,0.1659116,-0.0332272,0.8222274,0.006087489,-0.003328651
Zombie@Damage01,0.3291667,0,0,0,0,-0.04033512,1.402426,0.1748878,-0.03340655,0.8203427,0.007522196,-0.003153235
Zombie@Damage01,0.3333333,0,0,0,0,-0.04094403,1.398355,0.1838418,-0.03357664,0.8184788,0.008965634,-0.002893776
Zombie@Damage01,0.3375,0,0,0,0,-0.0409666,1.396262,0.1892823,-0.03345687,0.817753,0.009893209,-0.002943784
Zombie@Damage01,0.3416667,0,0,0,0,-0.04098036,1.394139,0.1947167,-0.03333464,0.8170356,0.01082604,-0.002966881
Zombie@Damage01,0.3458333,0,0,0,0,-0.04098526,1.391984,0.2001445,-0.03320999,0.8163267,0.01176415,-0.002963513
Zombie@Damage01,0.35,0,0,0,0,-0.04098114,1.389799,0.2055655,-0.03308278,0.8156258,0.01270774,-0.002933055
Zombie@Damage01,0.3541667,0,0,0,0,-0.04096801,1.387584,0.210979,-0.0329531,0.8149333,0.01365701,-0.002875894
Zombie@Damage01,0.3583333,0,0,0,0,-0.04094569,1.385339,0.2163846,-0.03282088,0.8142489,0.0146119,-0.002791822
Zombie@Damage01,0.3625,0,0,0,0,-0.04091408,1.383064,0.2217821,-0.03268619,0.8135725,0.01557272,-0.00268057
Zombie@Damage01,0.3666667,0,0,0,0,-0.04087312,1.380759,0.227171,-0.03254898,0.8129045,0.01653966,-0.0025419
Zombie@Damage01,0.3708333,0,0,0,0,-0.04031687,1.381113,0.2285947,-0.0321806,0.8136495,0.01706399,-0.002458215
Zombie@Damage01,0.375,0,0,0,0,-0.03975893,1.381463,0.2300201,-0.0318111,0.8143939,0.01759195,-0.002373457
Zombie@Damage01,0.3791667,0,0,0,0,-0.03919925,1.38181,0.2314474,-0.03144054,0.8151377,0.01812363,-0.002287984
Zombie@Damage01,0.3833333,0,0,0,0,-0.03863796,1.382153,0.2328765,-0.03106899,0.8158808,0.01865906,-0.002201438
Zombie@Damage01,0.3875,0,0,0,0,-0.03807507,1.382492,0.2343076,-0.03069633,0.816623,0.01919834,-0.002114087
Zombie@Damage01,0.3916667,0,0,0,0,-0.03751067,1.382828,0.2357407,-0.03032291,0.8173646,0.01974171,-0.00202617
Zombie@Damage01,0.3958333,0,0,0,0,-0.03694482,1.38316,0.2371762,-0.02994847,0.8181052,0.0202891,-0.001937568
Zombie@Damage01,0.4,0,0,0,0,-0.03637746,1.383487,0.2386141,-0.0295732,0.8188451,0.02084069,-0.001848489
Zombie@Damage01,0.4041667,0,0,0,0,-0.0356628,1.385999,0.2370567,-0.02912905,0.8208247,0.0209785,-0.001833797
Zombie@Damage01,0.4083333,0,0,0,0,-0.03494583,1.388502,0.2355031,-0.02868246,0.8228011,0.02112222,-0.001813561
Zombie@Damage01,0.4125,0,0,0,0,-0.03422666,1.390993,0.233953,-0.02823361,0.8247739,0.02127209,-0.00178799
Zombie@Damage01,0.4166667,0,0,0,0,-0.03350547,1.393475,0.232407,-0.02778262,0.8267431,0.02142836,-0.001756936
Zombie@Damage01,0.4208333,0,0,0,0,-0.03278241,1.395946,0.2308651,-0.02732962,0.8287082,0.02159114,-0.001720667
Zombie@Damage01,0.425,0,0,0,0,-0.03205764,1.398406,0.2293275,-0.02687483,0.8306693,0.02176068,-0.00167945
Zombie@Damage01,0.4291667,0,0,0,0,-0.03133129,1.400855,0.2277949,-0.02641832,0.8326264,0.02193717,-0.001632869
Zombie@Damage01,0.4333333,0,0,0,0,-0.03060359,1.403293,0.2262669,-0.02596029,0.8345793,0.02212083,-0.001581013
Zombie@Damage01,0.4375,0,0,0,0,-0.03003184,1.406028,0.2236643,-0.02561625,0.8365436,0.02200685,-0.001645625
Zombie@Damage01,0.4416667,0,0,0,0,-0.02945847,1.408748,0.2210644,-0.02527128,0.8385047,0.02189928,-0.001700938
Zombie@Damage01,0.4458333,0,0,0,0,-0.0288837,1.411452,0.2184668,-0.02492549,0.8404623,0.02179817,-0.001746923
Zombie@Damage01,0.45,0,0,0,0,-0.02830741,1.414141,0.2158728,-0.02457877,0.8424162,0.02170375,-0.001784414
Zombie@Damage01,0.4541667,0,0,0,0,-0.02772991,1.416815,0.2132823,-0.02423138,0.8443672,0.02161607,-0.001812816
Zombie@Damage01,0.4583333,0,0,0,0,-0.02715112,1.419473,0.2106946,-0.02388326,0.8463146,0.02153531,-0.0018318
Zombie@Damage01,0.4625,0,0,0,0,-0.02657118,1.422116,0.2081112,-0.02353461,0.8482587,0.02146155,-0.001842111
Zombie@Damage01,0.4666667,0,0,0,0,-0.02598999,1.424743,0.2055315,-0.02318525,0.8501993,0.02139493,-0.001843542
Zombie@Damage01,0.4708333,0,0,0,0,-0.02577715,1.425783,0.2043807,-0.02306186,0.8509417,0.02131809,-0.001877308
Zombie@Damage01,0.475,0,0,0,0,-0.02556417,1.42682,0.2032304,-0.02293845,0.8516837,0.02124266,-0.001909137
Zombie@Damage01,0.4791667,0,0,0,0,-0.02535114,1.427855,0.202081,-0.02281513,0.8524253,0.02116849,-0.001939476
Zombie@Damage01,0.4833333,0,0,0,0,-0.02513789,1.428886,0.2009325,-0.02269174,0.8531662,0.02109583,-0.001967996
Zombie@Damage01,0.4875,0,0,0,0,-0.02492468,1.429916,0.1997845,-0.02256841,0.8539068,0.02102439,-0.001995236
Zombie@Damage01,0.4916667,0,0,0,0,-0.02471126,1.430943,0.1986377,-0.02244515,0.8546471,0.02095456,-0.002020389
Zombie@Damage01,0.4958333,0,0,0,0,-0.02449784,1.431967,0.1974916,-0.02232195,0.8553868,0.02088595,-0.002044201
Zombie@Damage01,0.5,0,0,0,0,-0.02428425,1.432988,0.1963464,-0.02219865,0.8561259,0.02081882,-0.002066314
LS_Zombie_Death,0,0,0,0,0,-0.02428425,1.440055,0.1963465,-0.02219865,0.8631926,0.02081889,0.004999965
LS_Zombie_Death,0.01111111,0,0,0,0,-0.02398592,1.476774,0.218069,-0.0221021,0.919553,-0.002091549,0.003333837
LS_Zombie_Death,0.02222222,0,0,0,0,-0.02333752,1.498586,0.2379084,-0.02219789,0.9657106,-0.02444381,0.001667678
LS_Zombie_Death,0.03333334,0,0,0,0,-0.0220426,1.499993,0.253848,-0.02218361,0.9958197,-0.04771298,0.004999936
LS_Zombie_Death,0.04444445,0,0,0,0,-0.02807201,1.532085,0.2131816,-0.0233068,1.021103,-0.07187708,0.001697093
LS_Zombie_Death,0.05555556,0,0,0,0,-0.03399448,1.562926,0.1726718,-0.02441394,1.045868,-0.09563781,0.003392607
